volume, beta, bin,
88,     3.0,  10,
88,     3.2,  10,
88,     3.4,  10,
88,     3.6,  10,
88,     3.8,  10,
88,     4.0,  10,
88,     4.2,  10,
88,     4.4,  10,
88,     4.6,  10,
88,     4.8,  10,
88,     5.0,  10,
88,     5.2,  10,
88,     5.4,  10,
88,     5.6,  10,
88,     5.8,  10,
88,     6.0,  10,
88,     6.2,  10,
88,     6.4,  10,
88,     6.6,  10,
88,     6.8,  10,
88,     7.0,  10,
88,     7.2,  10,
88,     7.4,  10,
88,     7.6,  10,
88,     7.8,  10,
88,     8.0,  10,
1212,   3.0,  10,
1212,   3.2,  10,
1212,   3.4,  10,
1212,   3.6,  10,
1212,   3.8,  10,
1212,   4.0,  10,
1212,   4.2,  10,
1212,   4.4,  10,
1212,   4.6,  10,
1212,   4.8,  10,
1212,   5.0,  10,
1212,   5.2,  10,
1212,   5.4,  10,
1212,   5.6,  10,
1212,   5.8,  10,
1212,   6.0,  10,
1212,   6.2,  10,
1212,   6.4,  10,
1212,   6.6,  10,
1212,   6.8,  10,
1212,   7.0,  10,
1212,   7.2,  10,
1212,   7.4,  10,
1212,   7.6,  10,
1212,   7.8,  10,
1212,   8.0,  10,
1616,   3.0,  10,
1616,   3.2,  10,
1616,   3.4,  10,
1616,   3.6,  10,
1616,   3.8,  10,
1616,   4.0,  10,
1616,   4.2,  20,
1616,   4.4,  10,
1616,   4.6,  10,
1616,   4.8,  10,
1616,   5.0,   4,
1616,   5.2,  20,
1616,   5.4,  20,
1616,   5.6,  10,
1616,   5.8,  10,
1616,   6.0,  20,
1616,   6.2,  20,
1616,   6.4,  30,
1616,   6.6,  20,
1616,   6.8,   4,
1616,   7.0,  10,
1616,   7.2,  10,
1616,   7.4,  10,
1616,   7.6,  10,
1616,   7.8,  10,
1616,   8.0,  20,
1818,   3.0,  10,
1818,   3.5,  10,
1818,   4.0,  10,
1818,   4.5,  10,
1818,   5.0,  10,
1818,   5.5,   6,
1818,   6.0,  30,
1818,   6.5,  10,
1818,   7.0,  20,
1818,   7.5,  10,
1818,   8.0,  20,
2424,		4.0,  8,
2424,		4.25, 8,
2424,		4.5,  8,
2424,		4.75, 10,
2424,		5.0,  24,
2424,		5.25, 12,
2424,		5.5,  20,
2424,		5.75, 10,
2424,		6.0,  16,
2424,		6.25, 14,
2424,		6.5,  10,
2424,		6.75, 20,
2424,		7.0,  10,
2424,		7.5,  12,
2424,		8.0,  10,
3232,		4.0,  10
3232,		4.5,  20
3232,		4.75, 20
3232,		5.0,  20
3232,		5.25, 20
3232,		5.5,  20
3232,		5.75, 40
3232,		6.0,  20
3232,		6.5,  40
3232,		7.0,  40
3232,		8.0,  20
3636,		4.5,  12
3636,		5.0,  12
3636,		5.5,  10
3636,		6.0,  20
3636,		6.5,  16
3636,		8.0,  12
